Frame,X,Y,Visibility,L,Theta,score
356,424,13,1,4.598355203866959,36.56796508978538,0.8771470189094543
357,429,18,1,5.36208513379097,41.18783883767395,0.806672990322113
358,432,21,1,3.805277779698372,21.077573091595752,0.8024390339851379
359,0,0,0,-inf,-inf,0.3460219204425812
360,0,0,0,-inf,-inf,0.3458182215690613
361,0,0,0,-inf,-inf,0.3349330723285675
362,0,0,0,-inf,-inf,0.3057600259780884
363,744,45,1,2.0,0.0,0.5778337717056274
364,0,0,0,-inf,-inf,0.2883794605731964
365,0,0,0,-inf,-inf,0.33457037806510925
366,0,0,0,-inf,-inf,0.34294578433036804
367,0,0,0,-inf,-inf,0.28564855456352234
368,715,47,1,3.031707525253296,-4.891203515902228,0.6913901567459106
369,691,51,1,1.5,90.0,0.49662962555885315
370,691,50,1,0.7071067690849304,-44.999999999179266,0.4611612558364868
371,0,0,0,-inf,-inf,0.2146380990743637
372,485,60,1,0.7071067690849304,44.999999999179266,0.5358616709709167
373,478,60,1,0.0,0.0,0.45355257391929626
374,477,56,1,2.456122636795044,-63.88050547607607,0.5119306445121765
375,0,0,0,-inf,-inf,0.570557177066803
376,0,0,0,-inf,-inf,0.31356945633888245
377,0,0,0,-inf,-inf,0.38799431920051575
378,318,52,1,2.0,0.0,0.4569724202156067
379,319,52,1,0.5,0.0,0.42884141206741333
380,465,38,1,1.5,90.0,0.5200903415679932
381,0,0,0,-inf,-inf,0.3360188901424408
382,0,0,0,-inf,-inf,0.3193216919898987
383,315,52,1,0.0,0.0,0.42086026072502136
384,319,52,1,0.5,0.0,0.4415126442909241
385,462,59,1,2.234675496816635,-24.5428083899557,0.7277261018753052
386,636,106,1,4.536317616701126,30.35928646947049,0.7643498182296753
387,640,106,1,2.5871034748852253,-3.5082508723996426,0.746469259262085
388,643,105,1,2.201067715883255,-73.58572910419649,0.5803784728050232
389,646,107,1,2.4842523336410522,59.56441069423644,0.6036916375160217
390,647,106,1,3.0331044755876064,2.0020864703546937,0.73679518699646
391,649,106,1,3.585392117500305,25.887407491130666,0.7101123332977295
392,757,48,1,2.3995100259780884,-20.5696336871785,0.6480294466018677
393,757,48,1,2.4491989463567734,-64.70033033286664,0.6051256656646729
394,757,47,1,2.1890043318271637,14.788919340499657,0.6085602045059204
395,757,46,1,3.3429103195667267,31.246879067038304,0.7164546847343445
396,537,10,1,2.5468184500932693,-81.32298768158454,0.5989224910736084
397,537,10,1,2.784772515296936,-34.920474811238456,0.6050286889076233
398,469,60,1,1.5,0.0,0.4728661775588989
399,463,35,1,0.0,0.0,0.40490731596946716
400,472,49,1,0.5,90.0,0.4352453351020813
401,0,0,0,-inf,-inf,0.6799939274787903
402,771,181,1,2.8097952157258987,15.489781132095247,0.6302902102470398
403,768,182,1,1.5,90.0,0.6029375195503235
404,763,184,1,3.0,-3.3937920135933064e-10,0.6665486693382263
405,760,186,1,2.5376220494508743,73.15496623712693,0.5420970320701599
406,0,0,0,-inf,-inf,0.23803822696208954
407,0,0,0,-inf,-inf,0.3218068480491638
408,757,186,1,3.516188859939575,50.99643586388597,0.7204734086990356
409,754,186,1,2.84636627137661,71.53636504873181,0.7653405070304871
410,750,187,1,2.668762981891632,-29.428175750617896,0.8069770336151123
411,746,188,1,1.7084192335605621,-74.92930722437274,0.810316801071167
412,0,0,0,-inf,-inf,0.7054925560951233
413,0,0,0,-inf,-inf,0.28018251061439514
414,315,52,1,0.0,0.0,0.4025380611419678
415,0,0,0,-inf,-inf,0.8348156213760376
416,735,53,1,0.7071067690849304,0.0,0.41380220651626587
417,732,55,1,1.5,90.0,0.6177001595497131
418,730,61,1,2.2085506916046143,-17.56709652820374,0.5144028067588806
419,0,0,0,-inf,-inf,0.3484862744808197
420,474,60,1,3.1280729323625565,-79.99981655713512,0.8333993554115295
421,475,60,1,2.7645085006952286,-77.55519941830434,0.7464225888252258
422,476,61,1,3.038943361490965,-82.83199304032857,0.704785168170929
423,476,63,1,2.2058622241020203,72.86314723293835,0.586695671081543
424,686,60,1,1.1067972034215927,18.43494882365416,0.45179107785224915
425,0,0,0,-inf,-inf,0.3563936948776245
426,477,62,1,2.030413046479225,-85.93494882289856,0.6760497093200684
427,477,62,1,1.994349718093872,-85.69217590797648,0.6015934348106384
428,477,65,1,2.0571825355291367,79.6951535312265,0.6208987832069397
429,0,0,0,-inf,-inf,0.6636247038841248
430,134,160,1,6.5801587253808975,-3.537007300423365,0.8788977861404419
431,118,161,1,1.0,90.0,0.4618605077266693
432,0,0,0,-inf,-inf,0.44871842861175537
433,756,43,1,1.5,0.0,0.606614887714386
434,754,57,1,1.5,90.0,0.5831547975540161
435,765,58,1,0.0,0.0,0.42996346950531006
436,755,59,1,1.4939390122890472,-84.84757676567847,0.5345495343208313
437,771,53,1,4.27332304418087,-29.01523947423819,0.7511433362960815
438,762,55,1,2.1213204860687256,0.0,0.5249601006507874
439,768,48,1,2.092318207025528,-54.485203903726756,0.5613366365432739
440,0,0,0,-inf,-inf,0.2109190672636032
441,0,0,0,-inf,-inf,0.24265052378177643
442,0,0,0,-inf,-inf,0.3595621585845947
443,0,0,0,-inf,-inf,0.3645075261592865
444,769,54,1,2.616316795349121,-22.66951216239601,0.43521764874458313
445,774,51,1,3.58039391040802,-63.08225200721991,0.6261441707611084
446,0,0,0,-inf,-inf,0.1723463088274002
447,0,0,0,-inf,-inf,0.1684790700674057
448,0,0,0,-inf,-inf,0.3014315664768219
449,0,0,0,-inf,-inf,0.28426849842071533
450,0,0,0,-inf,-inf,0.25352582335472107
451,0,0,0,-inf,-inf,0.23097634315490723
452,0,0,0,-inf,-inf,0.20262552797794342
453,0,0,0,-inf,-inf,0.1842358112335205
454,0,0,0,-inf,-inf,0.2470833957195282
455,668,75,1,2.1673462986946106,-12.323385425977111,0.5805734992027283
456,664,76,1,0.7071067690849304,44.999999999179266,0.44016045331954956
457,0,0,0,-inf,-inf,0.37226319313049316
458,761,150,1,0.7071067690849304,-44.999999999218346,0.4532812535762787
459,750,53,1,1.5,90.0,0.49741828441619873
460,0,0,0,-inf,-inf,0.21386830508708954
461,482,65,1,2.614849090576172,8.000511426746714,0.7978551983833313
462,483,65,1,2.730185031890869,60.14533968533304,0.7076920866966248
463,485,66,1,2.5,90.0,0.6949065327644348
464,649,71,1,2.506810886785388,0.8090472663869513,0.736686110496521
